,title,type
168,IDLE can't deal with characters above the range (U+0000-U+FFFF),5
169,lib2to3 log_error method behavior is inconsitent with documentation,5
170,no information about accessing typing.Generic type arguments,6
172,Possible integer overflow when call PyDTrace_GC_DONE(),5
173,"ipaddress.IPv{4,6}Network.reverse_pointer is broken",5
175,smtplib: LMTP broken in the case of multiple RCPT,5
176,<class 'contextlib._GeneratorContextManager'> returned a result with an error set,5
177,Display exceptions' subclasses in help(),6
178,Keep trailing zeros in precision for string format option g,5
179,Two bytes objects of zero length don't compare equal,5
180,test_check_hostname() of test_ftplib started to fail randomly,5
181,csv.Sniffer does not detect lineterminator,6
182,Note missing from logging.debug() docs,6
183,Avoid suppressing all exceptions in PyObject_HasAttr(),5
184,Better error handling in sqlite3,6
185,Better error handling in ctypes,6
186,Add datetime.time.strptime and datetime.date.strptime,6
187,sys.path[0] security issues,4
188,object.__new__ does not accept arguments if __bases__ is changed,5
189,"Simplify Modules/Setup{,.dist,.local}",6
190,IDLE: execute stored startup code on each Shell start.,6
191,NIS module fails to build due to the removal of interfaces related to Sun RPC from glibc.,2
192,Implement loop.sendfile,6
193,"Undefined references when compiling ctypes on binutils 2.29.1 with gcc -Wl,-z,undefs (Fedora 28)",2
194,datetime: add ability to parse RFC 3339 dates and times,6
196,Add version changed notes for OpenSSL 1.1.0 compatibility,6
197,test_ctypes fails on AIX with xlc,5
199,Use PEP 397 py launcher in windows faq,6
200,asyncio sslproto do not shutdown ssl layer cleanly,5
201,FIPS support for hashlib,6
202,merge the underlying data stores of unicodedata and the str type,6
203,Copy modified blurbs to idlelib/NEWS.txt,6
204,"IDLE: Pressing ""Home"" on Windows places cursor before "">>>""",5
205,Add context manager to temporarily disable GC,6
206,IDLE: Add docstrings and tests for editor.py reload functions,6
207,Extend zipfile's compression level support  to LZMA,6
208,"Tutorial section 2.1 has *nix example at 3.7, but Windows at 3.6",6
210,singledispatch support for type annotations,6
213,reduce uuid.UUID() memory footprint,3
214,multiprocessing.Array do not release shared memory,3
219,Add shutil.open,6
220,socket error handling needed,1
222,Allow py launcher to launch other registered Pythons,6
224,"Doc cleanup regarding path=fd, dir_fd, follow_symlinks, etc",6
225,android: add platform.android_ver(),6
227,The Windows SDK version 10.0.15063.0 was not found,2
228,Tkinter Tk args and Gnome Shell application name,5
229,Documentation for datetime substract operation incorrect?,6
230,multiprocessing calls flush on sys.stdout at exit even if it is None (pythonw),5
231,Misbehavior of BufferedRandom.write with raw file in append mode,5
232,ctypes string pointer fields should accept embedded null characters,5
233,json.dumps to check for obj.__json__ before raising TypeError,6
234,zipfile extractall needlessly re-wraps ZipInfo instances,6
235,Add inspect.splitdoc,6
236,Support the Sitemap extension in robotparser,6
239,Add os.preadv() and os.pwritev(),6
240,Add concat functionality to ElementTree xpath find,6
242,Document WindowsRegistryFinder inherits from MetaPathFinder,6
243,shutil.move raises AttributeError if first argument is a pathlib.Path object and destination is a directory,5
245,codecs.open silently ignores argument errors,5
246,Remove old-deprecated ElementTree features,6
247,Zipfile.extractall does not preserve file permissions,6
248,Direct sub-classing of pathlib.Path,5
249,obmalloc's 8-byte alignment causes undefined behavior,5
250,PyMem_Malloc() should guarantee alignof(max_align_t),5
252,Some python extensions can't be compiled with clang 3.4,2
254,Resize dict on del/pop,6
256,Can no longer specify OpenSSL locations with CPPFLAGS / LDFLAGS ?,6
257,segfault in PyErr_NormalizeException() after memory exhaustion,1
258,test_httpservers hangs since Python 3.5,7
259,int.bit_at(n) - Accessing a single bit in O(1),6
260,Add an efficient popcount method for integers,6
261,is_zipfile false positives,5
262,multiprocessing freeze_support needed outside win32,5
263,Email parser creates a message object that can't be flattened,5
264,Add an option to trace to run module as a script,6
265,Instance of _multiprocessing.PipeConnection-subtype crash on deletion,1
267,socket.socket(fileno=fd) does not work as documented,5
268,fatal error raised when Ctrl-C print loop,5
269,Install PowerShell activation scripts for venv for all platforms,6
270,add __iter__ to enum.Flag members,6
271,Replace contextmanager example and improve explanation,6
272,Document PEP 560,6
273,Make create_unix_server for SOCK_DGRAM work,6
274,Add named tuple reader to CSV module,6
275,tarfile.itn breaks if n is a negative float,5
278,"Improve repr for structseq objects to show named, but unindexed fields",6
279,Modernize pydoc to use better HTML and separate CSS,6
280,"Command-line option to suppress ""from None"" for debugging",5
281,Consider adding a normalize() method to collections.Counter(),6
284,asyncio missing wrap_socket (starttls),6
285,Let OpenSSL verify hostname and IP address,6
287,ProactorEventLoop locks up on close call,5
288,socketserver.ForkingMixIn.server_close() leaks zombie processes,3
289,socketserver.ThreadingMixIn leaks running threads after server_close(),3
290,Add functions to get the width in columns of a character,6
291,Deprecate sys.set_coroutine_wrapper and replace it with more focused API(s),6
292,test_re is failing when local is set for `en_IN`,5
293,calendar should understand full- vs. half-width characters,6
294,implement per-opcode cache in ceval,7
296,IDNA2008 encoding missing,4
297,Debian Sid/Buster: Cannot enable TLS 1.0/1.1 with PROTOCOL_TLS,5
298,X509 cert class for ssl module,6
299,Problem of consistency in collection.abc documentation,6
300,Fix pickling exceptions with multiple arguments,5
302,Solaris should support constants like termios' FIONREAD,6
303,"Solaris ""stat"" should support ""st_fstype""",6
306,Email Header Injection Protection Bypass,4
307,Undeprecate inspect.getfullargspec(),5
308,deeply nested itertools objects segfault,1
309,pathlib.Path._from_parsed_parts should call cls.__new__(cls),5
310,Subscript unpacking raises SyntaxError,5
311,Built-in module _io can lose data from buffered files in reference cycles,5
314,socket.getaddrinfo() should return named tuples,6
315,Avoid error from repr() of recursive dictview,5
316,"asyncio.gather(..., return_exceptions=True) swallows cancellation",5
317,unittest.mock.call len() error,5
319,Inconsistent behavior if globals is a dict subclass,5
320,Duplicated Content-Transfer-Encoding header when applying email.encoders,5
321,Implement Server.serve_forever and corresponding APIs,6
323,BoundArguments.arguments should be unordered,6
324,concurrent.futures should store full sys.exc_info(),6
327,Create enum for pstats sorting options,6
329,.then execution of actions following a future's completion,6
330,unittest.mock patch autospec doesn't work on staticmethods,5
331,"redesign Windows  os.getlogin, and add os.getuser",6
332,mimetypes.guess_extension result changes after mimetypes.init(),5
333,Add REQ_NAME to the node.h API,6
335,Add an UML class diagram to the collections.abc module documentation,6
336,Make patchcheck.py work for out-of-tree builds,6
337,distutils doesn't correctly read UTF-8 content from config files,5
338,open() shouldn't silently ignore buffering=1 in binary mode,5
339,Save OrderedDict imports in various stdlibs.,7
340,Supporting native backup facility of SQLite,6
341,SMTPUTF8SimTests are not actually being run,5
342,File mode should be a constant,6
344,timeout sentinel in ftplib and poplib documentation,5
347,AttributeError: 'Task' object has no attribute '_callbacks',5
349,os.path.realpath on Windows does not follow symbolic links,5
350,Test failure in resource module on ZFS,5
351,argparse does not accept options taking arguments beginning with dash (regression from optparse),6
352,Zipfile & directory execution in 3.5.4 also adds the parent directory to sys.path,5
353,urllib gives incorrect url after open when using HTTPS,5
354,[ctypes] test_struct_by_value fails on android-24-arm64,5
355,[ctypes] all long double tests fail on android-24-x86_64,5
356,distutils test errors with AIX and xlc,5
357,test_search_cpp error on AIX (with xlc),5
358,pathlib.(Pure)WindowsPaths can compare equal but refer to different files,4
359,-Werror=declaration-after-statement expat build failure on Python 3.5,2
360,unittest.mock.patch.dict.__enter__ should return the dict,6
361,IDLE: revise zzdummy.py,5
362,PyImport_ImportModule occasionally cause access violation,1
363,Fractions instantiation revisited,5
364,Header dependent _uuid build failure on Fedora 27,2
365,multiprocessing.Queue raises AssertionError,6
366,[SSL: BAD_WRITE_RETRY] bad write retry in _ssl.c:1636,5
367,SSLContext.wrap_socket() throws OSError with errno == 0,5
370,vars() manipulation encounters problems with Enum,5
371,Make SSL suppress_ragged_eofs default more secure,4
372,test_pathlib fails if current path has junctions,5
373,test_asyncio failures on Windows,5
374,request full Unicode collation support in std python library,6
375,"Add ""key"" argument to ""bisect"" module functions",6
377,Add setter and getter for min/max protocol ersion,6
378,Incompatibilities with the socketserver and multiprocessing packages,5
379,urllib.parse.unquote raises incorrect errormessage when string parameter is bytes,5
380,Deprecation warning on strings used in re module,6
382,Synchronize copy methods between Python and C implementations of xml.etree.ElementTree.Element,5
383,Avoid raising OverflowError if possible,6
384,SSLSocket extra level of indirection,5
386,User friendly message when invoking bdist_wheel sans wheel package.,6
388,Outdated Modules/Setup warning is invisible,6
389,"All sys attributes (.argv, ...) should exist in embedded environments",6
391,Add dtrace hook for PyCFunction_Call,6
392,Fully implement IOBase abstract on SpooledTemporaryFile,5
393,allow shutil.disk_usage to take a file path on Windows also,6
394,venv says to use python3 which does not exist in 3.6.4,6
395,PosixPathTest.test_expanduser fails in NixOS build sandbox,5
397,Speed-up list.insert: use memmove(),7
398,ResourceWarning: suggest to enable tracemalloc in the message,3
399,Make REG_MULTI_SZ support PendingFileRenameOperations,5
400,Enable optimized locks on Windows,7
402,Compilation warnings under x64 Windows,5
404,asyncio SSL contexts leak sockets after calling close with certain Apache servers,7
405,cmd module tab misbehavior,5
407,Uninitialized free_extra in code_dealloc,1
408,A bug of the write funtion of ConfigParser.py,5
410,Bdb: add a unittest file (test.test_bdb),6
411,ast and tokenize disagree about line number,5
412,"_PyEval_RequestCodeExtraIndex should return a globally valid index, not a ThreadState specific one",5
413,"Add ""ignore_modules"" option to TracebackException.format()",6
414,cgroups support in multiprocessing,6
415,Travis: Test with OpenSSL 1.1.0,6
416,curses writing to window's bottom right position raises: `_curses.error: addstr() returned ERR',6
417,netrc module does not handle multiple entries for a single host,6
419,Fix handling of sizehint=-1 in select.epoll(),5
420,Add ability to query number of buffered bytes available on buffered I/O,6
422,inherit the py launcher's STARTUPINFO,6
424,random.seed(tuple) uses the randomized hash function and so is not reproductible,5
425,"memory not freed, aka memory leak continues...",5
426,core logic of uuid.getnode() is broken for AIX - all versions,5
428,Closing async generator while it is running does not raise an exception,5
429,inspect module docs omits many functions,5
430,Make statistics.median run in linear time,7
431,IDLE: Add links for email and docs to help_about,6
432,csv.DictWriter emits strange errors if fieldnames is an iterator,6
433,"smtplib send_message should add Date header if it is missing, per RFC5322",5
434,Change base class for futures.CancelledError,6
435,cgi.FieldStorage constructor assumes all lines terminate with \n,5
436,Multiprocessing Manager on 3D list - no change of the list possible,5
438,Allow ssl certificates to be specified from memory rather than files.,6
439,SSLSocket read/write thread-unsafety,5
441,Expose parse_string in JSONDecoder,6
442,Add an option to pdb/trace/profile to run library module as a script,6
443,csv writer doesn't escape escapechar,5
444,CSV module incorrectly treats escaped newlines as new records if unquoted,5
445,ctypes library loading and AIX - also for 2.7.X (and later),5
446,ctypes fails to import with grsecurity's TPE,5
448,Cmd: list available completions from the cmd.Cmd subclass and filter out EOF handler(s),6
449,Allow limiting the number of concurrent tasks in asyncio.as_completed,6
450,gdb.execute can not put string value.,5
451,How ro fix the chm encoding in Non western european codepage(cp1252) Windows,5
452,Allow specifying code packing order in audioop adpcm functions,5
454,"ctypes.CDLL returns singleton objects, resulting in usage conflicts",5
455,Insufficient error message with incorrect formated string literal,5
456,nis module fails to build against glibc-2.26,2
457,urllib.parse.urlopen shouldn't ignore installed opener when called with any SSL argument,5
458,Add precision argument to datetime.now,6
459,Python 2.7 leaks a packages __init__.py module object on SyntaxError,5
460,_PyThreadState_Init and fork race leads to inconsistent key list,1
461,Python startup should not require passwd entry,5
463,Document that m_traverse for multi-phase initialized modules can be called with m_state=NULL,5
464,Mention PYTHONFAULTHANDLER in the man page,6
465,Capsule API usage docs are incompatible with module reloading (etc),5
466,Make the API of argparse.HelpFormatter public,6
467,AMD64 Debian PGO 3.x buildbot: compilation failed with an internal compiler error in create_edge,2
468,nonASCII punctuation characters can not display in python363.chm.,5
470,pickle: respect dispatch for functions again,6
471,Thread primitives do not report the OS-level error on failure,5
472,0x80070002 - The system cannot find the file specified,5
474,Add an option to profile to run library module as a script,6
475,dataclasses: no need for OrderedDict now that dict guarantees to keep insertion order,5
476,doctest syntax ambiguity between continuation line and ellipsis,5
477,'import posixpath' fails if 'os.path' has not be imported already.,5
478,Documentation for dir([object]),6
479,"When using a Windows XP compatible toolset, `socketmodule.c` fails to build",2
480,dataclasses: make field() with no annotation an error,5
482,Document C API that is not part of the limited API,6
483,Add Linux's signalfd() to the signal module,6
484,datetime.strptime creates tz naive object from value containing a tzname,6
486,interface to gdbm_count,6
487,Improve the error message logic for object_new & object_init,6
488,NameError for built in function open when re-raising stored exception from yielded function,5
489,base64.decode: linebreaks are not ignored,5
490,PyCompile_OpcodeStackEffect() and dis.stack_effect() are not particularly useful,6
491,asyncore.dispatcher does not handle windows socket error code correctly (namely WSAEWOULDBLOCK 10035),5
492,Move jumps optimization from the peepholer to the compiler,7
493,subprocess: duplicate filename in exception message,5
494,Multiprocessing dict sharing between forked processes,1
496,the first build after a change to Makefile.pre.in uses the old Makefile,5
497,PYTHONIOENCODING=undefined doesn't work in Python 3,5
498,Allow dircmp.subdirs to behave well under subclassing,6
499,filecmp.dircmp does not allow non-shallow comparisons,6
500,inconsistent ImportError message executing same import statement,5
501,Document that locals() may return globals(),6
502,"build on AIX fails when builddir != srcdir, more than bad path to ld_so_aix",2
504,shutil.rmtree can have O(n^2) performance on large dirs,6
505,Wrong ExitStack Callback recipe,5
508,mimetypes.guess_type() returns incorrectly formatted type,5
509,"[urllib] proxy_bypass_registry - extra error handling required for ProxyOverride, Windows under proxy environment",5
510,problems with shutil.py and os.get_terminal_size,5
511,raise NotImplemented vs return NotImplemented,3
512,argparse: nargs='*' positional argument doesn't accept any items if preceded by an option and another positional,5
515,python -m venv activation issue when using cygwin on windows,5
516,Unable to run IDLE without write-access to home directory,6
517,Make textwrap.dedent() consistent with str.splitlines(True) and str.strip(),6
518,Tkinter.ttk Widget does not define wich option exists to set the cursor,3
519,Keeping an exception in cache can segfault the interpreter,1
520,Clarify error message when attempting to call function via str.format(),6
521,python -m venv symlink dependency on how python binary is called is not documented,5
522,pathlib.WindowsPath.reslove(strict=False) returns absoulte path only if at least one component exists,5
523,PyLong_ API cleanup,5
525,abort when passing certain structs by value using ctypes,1
526,http.server and SimpleHTTPServer hang after a few requests,5
528,add threading.RWLock,6
529,struct.pack(): trailing padding bytes on x64,5
530,datetime.fromtimestamp(t) when 0 <= t <= 86399 fails on Python 3.6,5
531,Rewrite plistlib with functional style,7
532,Save OrderedDict import in re,6
533,"Accelerate 'string' % (value, ...) by using formatted string literals",7
534,Idlelib.browser: stop sorting dicts created by pyclbr,7
535,Define instance mutability explicitly on type objects?,6
538,Add unittest support for pyc projects,6
539,"Accelerate 'string'.format(value, ...) by using formatted string literals",7
540,Performance regression in urllib.proxy_bypass_environment,7
541,Tools/demo/redemo.py broken,5
543,PyCapsule_Import fails when name is in the form 'package.module.capsule',5
544,Allow non-default XML parsers to take advantage of a _parse_whole definition in xml.etree.ElementTree.ElementTree.parse(),6
545,Generator tests is broken in non-CPython implementation,5
546,LZMA library sometimes fails to decompress a file,5
547,socket.getfqdn() doesn't cope properly with purely DNS-based setups,5
548,OSX C++ linking workaround in distutils breaks other packages,5
550,help() of bitwise operators should mention sets as well,6
551,"ctypes.util.find_library fails when ldconfig/glibc not available (e.g., AIX)",5
552,functools.singledispatch interacts poorly with methods,5
553,Argument Clinic should understand *args and **kwargs parameters,6
554,UserList.__getitem__ doesn't account for slices,5
556,compileall hangs when accessing urandom even if number of workers is 1,3
557,Ignored SIGCHLD causes asyncio.Process.wait to hang forever,5
558,_pyio module broken on Cygwin / setmode not usable,1
559,inspect.isdatadescriptor  false negative,5
560,pause_reading() doesn't work from connection_made(),5
564,Extract documentation theme into a separate package,6
565,nav menu jitter in old documentation,5
566,asyncio.Server class documented but not exported,5
567,add coroutine AbstractEventLoop.sock_close,3
568,Constructor of ipaddress.IPv*Interface does not follow documentation,5
569,asyncio.StreamReader.readuntil is not general enough,6
570,Python 3.6 cannot reopen .pyc file with non-ASCII path,5
572,--enable-optimizations makes common build commands always need to compile from scratch,6
573,'make clinic' does not work for out of tree builds / clinic.py is not in the devguide,2
574,error message when __aexit__ is not async,5
575,Add is_closing() to asyncio.StreamWriter.,6
576,Provide access to buffer of asyncio.StreamReader,6
578,Compilation warnings in getpath.c with gcc on Ubuntu / -D_FORTIFY_SOURCE=2,5
580,"global / nonlocal interference : is this a bug, a feature or a design hole ?",5
581,Problems with /usr/lib64 builds.,5
582,SSLContext.wrap_socket sends SNI Extension when server_hostname is IP,5
583,incorrect line numbers in backtrace after removing a trace function,5
584,pdb.set_trace() clobbering traceback on error,5
585,Signal delivered to a subprocess triggers parent's handler,5
586,Improve error reporting involving f-strings (PEP 498),6
587,Delay-loading of python dll is impossible when using some C macros,2
588,Don't prevent dict optimization by coupling with OrderedDict,6
589,Add copy_directory_metadata parameter to shutil.copytree,6
590,[Security] CVE-2017-17522: webbrowser.py in Python does not validate strings,4
591,constant folding opens compiler to quadratic time hashing,5
593,Use backslashreplace in pprint,5
595,OSError: raw write() returned invalid length on latest Win 10 Consoles,5
597,zipfile.extractall fails in Posix shell with utf-8 filename,5
598,Add context management to mailbox.Mailbox,6
600,`inspect.getfullargspec` doesn't work fine for some builtin callable objects,5
602,System Integrity Protection breaks shutil.copystat(),5
603,Add pid to .cover filename in lib/trace.py,6
604,improve performance of binascii.unhexlify() by using conversion table,7
606,Make the dict type used in csv.DictReader configurable,6
607,"test_c_locale_coercion fails when the default LC_CTYPE != ""C""",5
608,"ttk.Treeview: _tkinter.TclError: list element in quotes followed by "";"" instead of space",5
611,Too aggressive constant folding,3
612,idle_test: failures on x86 Windows7 3.x,5
613,Email parser creates a message object that can't be flattened,5
618,pygettext doesn't extract docstrings for functions with type annotated params,5
620,Bad assumption on thread stack size makes python crash with musl libc,1
621,Heap type with Py_TPFLAGS_HAVE_GC leads to segfault due to not incrementing type object refcout in PyObject_GC_New,1
622,sys.exc_clear() clears exception in other stack frames,5
623,Create Py_AtExitRegister C API,6
626,Remove _Py_PyAtExit from Python.h,6
627,add method throw() to asyncio.Task,6
628,codecs.open() buffering doc needs fix,5
629,Warn when __loader__ != __spec__.loader,6
630,update the import machinery to only use __spec__,6
631,Modify _PyObject_FastCall() to reduce stack consumption,3
632,test_uuid: test_getnode and test_windll_getnode fail if connected to the Internet via an Android phone,5
633,subprocess closes redirected fds even if they are in pass_fds,5
634,exception error in _scproxy.so when called after fork,1
635,Hanging bug with multiprocessing + sqlite3 + tkinter (OS X 10.9 only),1
636,Apple-supplied libsqlite3 on OS X is not fork safe;  can cause crashes,1
637,Expose `_PyRuntime` through a section name,6
638,Add 'surgical editing' to ConfigParser,6
639,Value error for string shared memory in multiprocessing,1
640,Add a build infrastructure for Android,6
641,Inconsistent behavior with slice assignment?,5
642,"In `unicodedata`, it should be possible to check a unistr's normal form without necessarily copying it",6
643,"Glossary does not define ""extended slicing""",6
644,Instance methods compare equal when their self's are equal,5
645,Allow waiting on a mock,6
646,Fast decimalisation and conversion to other bases,6
648,bdist_rpm v.s. the Macintosh,6
649,"Contradiction in definition of ""data descriptor"" between (dotted lookup behavior/datamodel documentation) and (inspect lib/descriptor how-to)",5
650,unittest.TestCase.assertWarns raises RuntimeEror if sys.modules changes size,5
651,Document return value of epoll.poll,6
652,atexit_callfuncs() crashing within Py_Finalize() when using multiple interpreters.,1
653,test_regrtest  leaves a test_python_* directory in TEMPDIR,5
654,SSL socket methods don't retry on EINTR?,5
655,test_regrtest alters the execution environment on Android,5
656,open builtin function: specifying the size of buffer has no effect for text files,5
657,Support Disabling Renegotiation for SSLContext,4
659,setting SO_REUSEPORT fails at API 21,5
660,Meta-issue: support of the android platform,6
661,Binary arithmetic does not always call subclasses first,5
662,Upgrade installers to OpenSSL 1.1.0g and 1.0.2n,6
663,Adding a new regex module (compatible with re),6
664,asyncio: Windows Proactor Event Loop UDP Support,6
665,Crash in set_traverse Within the Garbage Collector's collect_generations(),1
666,newer() function in dep_util.py discard changes in the same second,5
668,Pathlib glob ** bug,6
669,2to3 does not preserve line endings,5
670,argparse types (and actions) must be hashable,5
672,Documentation of zipfile.ZipFile().writestr() fails to mention that 'data' may also be bytes,6
674,Add start and stop parameters to the range.index() ABC method,6
675,Multiprocessing: multiprocessing.connection.Listener.accept() should accept a timeout,6
677,"Handle ""POSIX"" in the legacy locale detection",5
678,PEP 538: Unexpected locale behaviour on *BSD (including Mac OS X),5
679,socket.create_connection needs to support full IPv6 argument,5
680,buffered read() and write() does not raise BlockingIOError,5
681,Simplify hiding developer warnings in user facing applications,6
682,multiprocessing: passing file descriptor using reduction breaks duplex pipes on darwin,5
683,-bb option should override -W options,6
684,sqlite3 400x-600x slower depending on formatting of an UPDATE statement in a string,7
685,"sqlite3 SELECT does not BEGIN a transaction, but should according to spec",5
686,Add platform.android_ver()  to test.pythoninfo for Android platforms,6
687,SSLWantWriteError being raised by blocking SSL socket,5
